,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
10,240.0,240.0,44.0,97.0,0.454,13.0,32.0,0.406,20.0,28.0,0.714,15.0,28.0,43.0,21.0,10.0,4.0,7.0,25.0,121.0,,,0.553,0.521,0.33,0.289,31.9,82.4,53.1,47.7,10.3,12.5,6.0,100.0,124.0,104.6,,,11.0,19.0,1.0,5.0,12.0,1.0,9.0,10.0,1.0,6.0,7.0,12.0,11.0,4.0,1.0,4.0,5.0,29.0,26.3,21.0,1.087,1.0,0.75,4.0,30.9,55.0,25.2,49.6,7.6,7.6,44.4,25.3,234.0,113.0,TOR,121,0,1,240.0,240.0,32.0,67.0,0.478,13.0,35.0,0.371,25.0,34.0,0.735,6.0,32.0,38.0,24.0,4.0,11.0,24.0,24.0,102.0,,,0.622,0.575,0.522,0.507,17.6,68.1,46.9,75.0,4.1,16.9,22.7,100.0,104.6,124.0,,,6.0,12.0,0.75,3.0,8.0,1.0,9.0,12.0,1.0,2.0,7.0,8.0,7.0,1.0,4.0,5.0,5.0,23.0,17.9,0.0,0.945,0.917,1.0,1.333,10.0,39.2,26.0,48.6,3.0,16.2,50.0,42.8,192.0,134.0,BRK,102,1,2020,2020-01-04,True
11,240.0,240.0,32.0,67.0,0.478,13.0,35.0,0.371,25.0,34.0,0.735,6.0,32.0,38.0,24.0,4.0,11.0,24.0,24.0,102.0,,,0.622,0.575,0.522,0.507,17.6,68.1,46.9,75.0,4.1,16.9,22.7,100.0,104.6,124.0,,,6.0,12.0,0.75,3.0,8.0,1.0,9.0,12.0,1.0,2.0,7.0,8.0,7.0,1.0,4.0,5.0,5.0,23.0,17.9,0.0,0.945,0.917,1.0,1.333,10.0,39.2,26.0,48.6,3.0,16.2,50.0,42.8,192.0,134.0,BRK,102,1,0,240.0,240.0,44.0,97.0,0.454,13.0,32.0,0.406,20.0,28.0,0.714,15.0,28.0,43.0,21.0,10.0,4.0,7.0,25.0,121.0,,,0.553,0.521,0.33,0.289,31.9,82.4,53.1,47.7,10.3,12.5,6.0,100.0,124.0,104.6,,,11.0,19.0,1.0,5.0,12.0,1.0,9.0,10.0,1.0,6.0,7.0,12.0,11.0,4.0,1.0,4.0,5.0,29.0,26.3,21.0,1.087,1.0,0.75,4.0,30.9,55.0,25.2,49.6,7.6,7.6,44.4,25.3,234.0,113.0,TOR,121,0,2020,2020-01-04,False
12,240.0,240.0,40.0,85.0,0.471,11.0,30.0,0.367,20.0,23.0,0.87,7.0,30.0,37.0,19.0,6.0,3.0,11.0,25.0,111.0,,,0.583,0.535,0.353,0.271,17.1,93.8,50.7,47.5,6.2,8.1,10.4,100.0,115.0,121.2,,,11.0,19.0,1.0,4.0,8.0,1.0,9.0,9.0,1.0,2.0,9.0,10.0,6.0,2.0,1.0,4.0,5.0,29.0,21.0,7.0,1.5,1.5,1.0,0.8,11.2,53.7,23.6,21.2,4.8,9.4,36.8,32.4,300.0,127.0,LAC,111,0,1,240.0,240.0,42.0,76.0,0.553,20.0,39.0,0.513,13.0,21.0,0.619,2.0,34.0,36.0,15.0,4.0,3.0,14.0,23.0,117.0,,,0.686,0.684,0.513,0.276,6.3,82.9,49.3,35.7,4.1,5.5,14.1,100.0,121.2,115.0,,,15.0,29.0,0.8,6.0,12.0,0.667,5.0,7.0,0.75,1.0,19.0,20.0,4.0,2.0,3.0,3.0,4.0,37.0,22.6,21.0,0.873,0.9,0.75,2.0,29.5,61.7,36.5,21.0,2.8,7.3,34.7,40.8,238.0,121.0,UTA,117,1,2021,2021-06-10,False
13,240.0,240.0,42.0,76.0,0.553,20.0,39.0,0.513,13.0,21.0,0.619,2.0,34.0,36.0,15.0,4.0,3.0,14.0,23.0,117.0,,,0.686,0.684,0.513,0.276,6.3,82.9,49.3,35.7,4.1,5.5,14.1,100.0,121.2,115.0,,,15.0,29.0,0.8,6.0,12.0,0.667,5.0,7.0,0.75,1.0,19.0,20.0,4.0,2.0,3.0,3.0,4.0,37.0,22.6,21.0,0.873,0.9,0.75,2.0,29.5,61.7,36.5,21.0,2.8,7.3,34.7,40.8,238.0,121.0,UTA,117,1,0,240.0,240.0,40.0,85.0,0.471,11.0,30.0,0.367,20.0,23.0,0.87,7.0,30.0,37.0,19.0,6.0,3.0,11.0,25.0,111.0,,,0.583,0.535,0.353,0.271,17.1,93.8,50.7,47.5,6.2,8.1,10.4,100.0,115.0,121.2,,,11.0,19.0,1.0,4.0,8.0,1.0,9.0,9.0,1.0,2.0,9.0,10.0,6.0,2.0,1.0,4.0,5.0,29.0,21.0,7.0,1.5,1.5,1.0,0.8,11.2,53.7,23.6,21.2,4.8,9.4,36.8,32.4,300.0,127.0,LAC,111,0,2021,2021-06-10,True
14,240.0,240.0,32.0,78.0,0.41,10.0,27.0,0.37,24.0,27.0,0.889,9.0,28.0,37.0,20.0,10.0,4.0,13.0,22.0,98.0,,,0.545,0.474,0.346,0.346,20.5,82.4,47.4,62.5,10.9,8.2,12.6,100.0,106.5,120.6,,,9.0,21.0,0.625,4.0,9.0,0.6,11.0,11.0,1.0,4.0,8.0,12.0,5.0,5.0,2.0,3.0,6.0,33.0,27.3,11.0,0.688,0.688,1.0,0.667,14.6,100.0,76.9,37.2,6.7,6.6,50.0,34.3,143.0,129.0,LAC,98,0,1,240.0,240.0,40.0,74.0,0.541,12.0,25.0,0.48,19.0,27.0,0.704,6.0,35.0,41.0,26.0,8.0,3.0,14.0,18.0,111.0,,,0.646,0.622,0.338,0.365,17.6,79.5,52.6,65.0,8.7,5.9,14.0,100.0,120.6,106.5,,,13.0,22.0,0.75,4.0,6.0,0.667,4.0,6.0,1.0,2.0,12.0,14.0,7.0,4.0,1.0,5.0,4.0,34.0,29.2,14.0,0.875,0.875,0.857,1.333,13.3,33.0,21.7,43.0,4.9,4.7,50.0,56.5,171.0,116.0,DEN,111,1,2020,2020-09-13,False
15,240.0,240.0,40.0,74.0,0.541,12.0,25.0,0.48,19.0,27.0,0.704,6.0,35.0,41.0,26.0,8.0,3.0,14.0,18.0,111.0,,,0.646,0.622,0.338,0.365,17.6,79.5,52.6,65.0,8.7,5.9,14.0,100.0,120.6,106.5,,,13.0,22.0,0.75,4.0,6.0,0.667,4.0,6.0,1.0,2.0,12.0,14.0,7.0,4.0,1.0,5.0,4.0,34.0,29.2,14.0,0.875,0.875,0.857,1.333,13.3,33.0,21.7,43.0,4.9,4.7,50.0,56.5,171.0,116.0,DEN,111,1,0,240.0,240.0,32.0,78.0,0.41,10.0,27.0,0.37,24.0,27.0,0.889,9.0,28.0,37.0,20.0,10.0,4.0,13.0,22.0,98.0,,,0.545,0.474,0.346,0.346,20.5,82.4,47.4,62.5,10.9,8.2,12.6,100.0,106.5,120.6,,,9.0,21.0,0.625,4.0,9.0,0.6,11.0,11.0,1.0,4.0,8.0,12.0,5.0,5.0,2.0,3.0,6.0,33.0,27.3,11.0,0.688,0.688,1.0,0.667,14.6,100.0,76.9,37.2,6.7,6.6,50.0,34.3,143.0,129.0,LAC,98,0,2020,2020-09-13,True
16,240.0,240.0,43.0,82.0,0.524,8.0,19.0,0.421,17.0,21.0,0.81,13.0,31.0,44.0,22.0,10.0,5.0,19.0,22.0,111.0,,,0.608,0.573,0.232,0.256,33.3,73.8,54.3,51.2,10.5,10.9,17.2,100.0,116.8,109.5,,,12.0,17.0,1.0,3.0,5.0,0.6,4.0,7.0,1.0,6.0,7.0,12.0,5.0,2.0,2.0,4.0,5.0,28.0,25.8,15.0,1.0,1.0,0.667,0.875,32.4,30.1,31.2,31.7,8.9,9.2,66.7,41.6,154.0,121.0,BOS,111,0,1,240.0,240.0,34.0,80.0,0.425,13.0,34.0,0.382,23.0,31.0,0.742,11.0,26.0,37.0,23.0,15.0,5.0,15.0,22.0,104.0,,,0.555,0.506,0.425,0.388,26.2,66.7,45.7,67.6,15.8,7.9,13.8,100.0,109.5,116.8,,,11.0,21.0,0.667,5.0,9.0,1.0,8.0,14.0,1.0,4.0,10.0,14.0,7.0,4.0,3.0,3.0,5.0,35.0,29.0,2.0,0.793,0.75,0.75,0.833,18.4,34.6,23.3,28.4,5.3,18.4,50.0,31.5,144.0,123.0,CHI,104,1,2020,2020-01-04,True
17,240.0,240.0,34.0,80.0,0.425,13.0,34.0,0.382,23.0,31.0,0.742,11.0,26.0,37.0,23.0,15.0,5.0,15.0,22.0,104.0,,,0.555,0.506,0.425,0.388,26.2,66.7,45.7,67.6,15.8,7.9,13.8,100.0,109.5,116.8,,,11.0,21.0,0.667,5.0,9.0,1.0,8.0,14.0,1.0,4.0,10.0,14.0,7.0,4.0,3.0,3.0,5.0,35.0,29.0,2.0,0.793,0.75,0.75,0.833,18.4,34.6,23.3,28.4,5.3,18.4,50.0,31.5,144.0,123.0,CHI,104,1,0,240.0,240.0,43.0,82.0,0.524,8.0,19.0,0.421,17.0,21.0,0.81,13.0,31.0,44.0,22.0,10.0,5.0,19.0,22.0,111.0,,,0.608,0.573,0.232,0.256,33.3,73.8,54.3,51.2,10.5,10.9,17.2,100.0,116.8,109.5,,,12.0,17.0,1.0,3.0,5.0,0.6,4.0,7.0,1.0,6.0,7.0,12.0,5.0,2.0,2.0,4.0,5.0,28.0,25.8,15.0,1.0,1.0,0.667,0.875,32.4,30.1,31.2,31.7,8.9,9.2,66.7,41.6,154.0,121.0,BOS,111,0,2020,2020-01-04,False
18,240.0,240.0,39.0,83.0,0.47,14.0,40.0,0.35,14.0,18.0,0.778,7.0,39.0,46.0,30.0,9.0,8.0,15.0,20.0,106.0,,,0.583,0.554,0.482,0.217,17.5,81.3,52.3,76.9,9.3,15.4,14.2,100.0,110.0,101.7,,,9.0,17.0,1.0,4.0,9.0,1.0,7.0,7.0,1.0,2.0,8.0,9.0,8.0,3.0,2.0,4.0,5.0,23.0,18.0,16.0,1.5,1.5,1.0,1.0,13.3,33.2,24.2,37.2,11.0,6.3,66.7,31.3,181.0,113.0,GSW,106,0,1,240.0,240.0,36.0,86.0,0.419,12.0,34.0,0.353,14.0,17.0,0.824,9.0,33.0,42.0,19.0,7.0,3.0,13.0,18.0,98.0,,,0.524,0.488,0.395,0.198,18.8,82.5,47.7,52.8,7.3,7.0,12.2,100.0,101.7,110.0,,,11.0,19.0,0.625,4.0,5.0,0.8,4.0,5.0,1.0,3.0,7.0,9.0,4.0,1.0,1.0,3.0,5.0,30.0,21.8,3.0,0.75,0.75,1.0,0.8,11.0,38.2,18.1,25.3,2.7,11.8,27.3,28.0,138.0,118.0,OKC,98,1,2022,2021-10-26,True
19,240.0,240.0,36.0,86.0,0.419,12.0,34.0,0.353,14.0,17.0,0.824,9.0,33.0,42.0,19.0,7.0,3.0,13.0,18.0,98.0,,,0.524,0.488,0.395,0.198,18.8,82.5,47.7,52.8,7.3,7.0,12.2,100.0,101.7,110.0,,,11.0,19.0,0.625,4.0,5.0,0.8,4.0,5.0,1.0,3.0,7.0,9.0,4.0,1.0,1.0,3.0,5.0,30.0,21.8,3.0,0.75,0.75,1.0,0.8,11.0,38.2,18.1,25.3,2.7,11.8,27.3,28.0,138.0,118.0,OKC,98,1,0,240.0,240.0,39.0,83.0,0.47,14.0,40.0,0.35,14.0,18.0,0.778,7.0,39.0,46.0,30.0,9.0,8.0,15.0,20.0,106.0,,,0.583,0.554,0.482,0.217,17.5,81.3,52.3,76.9,9.3,15.4,14.2,100.0,110.0,101.7,,,9.0,17.0,1.0,4.0,9.0,1.0,7.0,7.0,1.0,2.0,8.0,9.0,8.0,3.0,2.0,4.0,5.0,23.0,18.0,16.0,1.5,1.5,1.0,1.0,13.3,33.2,24.2,37.2,11.0,6.3,66.7,31.3,181.0,113.0,GSW,106,0,2022,2021-10-26,False
